Account,Date,Company,Debit,Credit,Amount,Sub-category,Category,Category Type
Checking,2023-08-11 00:00:00,Company B,964,,-964,Rent,Living Expenses,Expense
Savings,2023-06-17 00:00:00,Company A,820,,-820,Entertainment,Entertainment,Expense
Checking,2023-08-31 00:00:00,Company C,79,,-79,Entertainment,Entertainment,Expense
Checking,2023-12-18 00:00:00,Company B,,2009,2009,Salary,Income,Income
Checking,2023-06-21 00:00:00,Company A,943,,-943,Coffee,Dining Out,Expense
Checking,2023-12-10 00:00:00,Company B,478,,-478,Groceries,Food,Expense
Savings,2023-12-13 00:00:00,Company D,402,,-402,Rent,Living Expenses,Expense
Checking,2023-09-23 00:00:00,Company B,238,,-238,Transport,Travel,Expense
Savings,2023-07-30 00:00:00,Company C,,4076,4076,Salary,Income,Income
Savings,2023-10-05 00:00:00,Company B,934,,-934,Entertainment,Entertainment,Expense
Credit,2023-11-21 00:00:00,Company A,569,,-569,Coffee,Dining Out,Expense
Credit,2023-09-19 00:00:00,Company D,327,,-327,Utilities,Bills,Expense
Checking,2023-04-20 00:00:00,Company D,160,,-160,Entertainment,Entertainment,Expense
Savings,2023-08-06 00:00:00,Company D,523,,-523,Groceries,Food,Expense
Savings,2023-12-26 00:00:00,Company C,950,,-950,Utilities,Bills,Expense
Credit,2023-12-08 00:00:00,Company C,433,,-433,Transport,Travel,Expense
Checking,2023-10-10 00:00:00,Company A,419,,-419,Rent,Living Expenses,Expense
Credit,2023-11-26 00:00:00,Company C,694,,-694,Groceries,Food,Expense
Credit,2023-03-21 00:00:00,Company B,361,,-361,Utilities,Bills,Expense
Checking,2023-07-23 00:00:00,Company C,755,,-755,Entertainment,Entertainment,Expense
Savings,2023-06-24 00:00:00,Company B,399,,-399,Utilities,Bills,Expense
Credit,2023-03-04 00:00:00,Company B,,2013,2013,Salary,Income,Income
Checking,2023-03-23 00:00:00,Company B,791,,-791,Coffee,Dining Out,Expense
Credit,2023-12-22 00:00:00,Company D,118,,-118,Transport,Travel,Expense
Checking,2023-12-25 00:00:00,Company C,355,,-355,Coffee,Dining Out,Expense
Checking,2023-06-13 00:00:00,Company D,743,,-743,Coffee,Dining Out,Expense
Checking,2023-10-02 00:00:00,Company C,788,,-788,Groceries,Food,Expense
Savings,2023-06-03 00:00:00,Company B,466,,-466,Rent,Living Expenses,Expense
Checking,2023-09-11 00:00:00,Company C,224,,-224,Entertainment,Entertainment,Expense
Credit,2023-10-04 00:00:00,Company A,548,,-548,Rent,Living Expenses,Expense
Savings,2023-02-12 00:00:00,Company A,140,,-140,Coffee,Dining Out,Expense
Checking,2023-09-19 00:00:00,Company C,,2965,2965,Salary,Income,Income
Savings,2023-10-31 00:00:00,Company D,643,,-643,Entertainment,Entertainment,Expense
Credit,2023-10-18 00:00:00,Company C,23,,-23,Entertainment,Entertainment,Expense
Savings,2023-03-26 00:00:00,Company C,742,,-742,Rent,Living Expenses,Expense
Credit,2023-04-07 00:00:00,Company C,,3459,3459,Salary,Income,Income
Credit,2023-04-22 00:00:00,Company C,,1666,1666,Salary,Income,Income
Checking,2023-04-08 00:00:00,Company C,158,,-158,Entertainment,Entertainment,Expense
Checking,2023-02-06 00:00:00,Company A,,3796,3796,Salary,Income,Income
Checking,2023-11-23 00:00:00,Company D,363,,-363,Transport,Travel,Expense
Checking,2023-03-31 00:00:00,Company C,923,,-923,Rent,Living Expenses,Expense
Savings,2023-02-28 00:00:00,Company B,567,,-567,Entertainment,Entertainment,Expense
Credit,2023-06-10 00:00:00,Company B,534,,-534,Rent,Living Expenses,Expense
Checking,2023-07-16 00:00:00,Company D,39,,-39,Coffee,Dining Out,Expense
Checking,2023-06-03 00:00:00,Company C,699,,-699,Entertainment,Entertainment,Expense
Checking,2023-02-10 00:00:00,Company A,305,,-305,Entertainment,Entertainment,Expense
Savings,2023-02-15 00:00:00,Company C,636,,-636,Transport,Travel,Expense
Credit,2023-07-08 00:00:00,Company B,524,,-524,Utilities,Bills,Expense
Credit,2023-08-05 00:00:00,Company A,484,,-484,Transport,Travel,Expense
Credit,2023-09-27 00:00:00,Company C,521,,-521,Entertainment,Entertainment,Expense
Credit,2023-11-11 00:00:00,Company D,27,,-27,Groceries,Food,Expense
Credit,2023-06-10 00:00:00,Company D,688,,-688,Rent,Living Expenses,Expense
Credit,2023-10-12 00:00:00,Company C,874,,-874,Coffee,Dining Out,Expense
Savings,2023-06-24 00:00:00,Company B,5,,-5,Groceries,Food,Expense
Credit,2023-12-07 00:00:00,Company C,95,,-95,Utilities,Bills,Expense
Checking,2023-08-08 00:00:00,Company D,805,,-805,Coffee,Dining Out,Expense
Savings,2023-08-15 00:00:00,Company C,549,,-549,Groceries,Food,Expense
Credit,2023-12-27 00:00:00,Company A,,4715,4715,Salary,Income,Income
Credit,2023-04-24 00:00:00,Company C,280,,-280,Utilities,Bills,Expense
Savings,2023-07-25 00:00:00,Company C,775,,-775,Utilities,Bills,Expense
Checking,2023-04-26 00:00:00,Company A,838,,-838,Rent,Living Expenses,Expense
Checking,2023-11-05 00:00:00,Company C,224,,-224,Transport,Travel,Expense
Checking,2023-04-25 00:00:00,Company B,886,,-886,Entertainment,Entertainment,Expense
Savings,2023-08-11 00:00:00,Company B,949,,-949,Utilities,Bills,Expense
Checking,2023-08-12 00:00:00,Company D,,4418,4418,Salary,Income,Income
Credit,2023-01-29 00:00:00,Company C,826,,-826,Coffee,Dining Out,Expense
Credit,2023-02-07 00:00:00,Company C,982,,-982,Transport,Travel,Expense
Credit,2023-06-04 00:00:00,Company B,233,,-233,Coffee,Dining Out,Expense
Credit,2023-01-04 00:00:00,Company B,305,,-305,Utilities,Bills,Expense
Savings,2023-05-03 00:00:00,Company C,957,,-957,Utilities,Bills,Expense
Credit,2023-03-14 00:00:00,Company B,929,,-929,Coffee,Dining Out,Expense
Credit,2023-08-03 00:00:00,Company D,919,,-919,Rent,Living Expenses,Expense
Credit,2023-03-05 00:00:00,Company A,214,,-214,Transport,Travel,Expense
Credit,2023-09-14 00:00:00,Company B,639,,-639,Utilities,Bills,Expense
Savings,2023-01-24 00:00:00,Company A,50,,-50,Rent,Living Expenses,Expense
Credit,2023-08-21 00:00:00,Company C,,3847,3847,Salary,Income,Income
Credit,2023-01-04 00:00:00,Company B,869,,-869,Coffee,Dining Out,Expense
Savings,2023-05-20 00:00:00,Company C,511,,-511,Entertainment,Entertainment,Expense
Savings,2023-03-23 00:00:00,Company C,319,,-319,Transport,Travel,Expense
Checking,2023-01-18 00:00:00,Company A,945,,-945,Utilities,Bills,Expense
Checking,2023-02-26 00:00:00,Company D,,2547,2547,Salary,Income,Income
Savings,2023-10-12 00:00:00,Company A,459,,-459,Entertainment,Entertainment,Expense
Checking,2023-04-15 00:00:00,Company C,977,,-977,Transport,Travel,Expense
Checking,2023-08-09 00:00:00,Company D,761,,-761,Entertainment,Entertainment,Expense
Credit,2023-03-13 00:00:00,Company B,454,,-454,Utilities,Bills,Expense
Credit,2023-09-24 00:00:00,Company A,311,,-311,Transport,Travel,Expense
Savings,2023-01-30 00:00:00,Company A,10,,-10,Utilities,Bills,Expense
Checking,2023-04-06 00:00:00,Company B,,2174,2174,Salary,Income,Income
Savings,2023-12-29 00:00:00,Company B,99,,-99,Rent,Living Expenses,Expense
Checking,2023-08-04 00:00:00,Company D,455,,-455,Coffee,Dining Out,Expense
Savings,2023-02-03 00:00:00,Company D,,3633,3633,Salary,Income,Income
Credit,2023-08-11 00:00:00,Company B,850,,-850,Coffee,Dining Out,Expense
Checking,2023-09-07 00:00:00,Company D,869,,-869,Rent,Living Expenses,Expense
Credit,2023-05-28 00:00:00,Company C,774,,-774,Rent,Living Expenses,Expense
Checking,2023-02-16 00:00:00,Company A,681,,-681,Transport,Travel,Expense
Checking,2023-06-14 00:00:00,Company A,387,,-387,Utilities,Bills,Expense
Credit,2023-10-10 00:00:00,Company C,,1634,1634,Salary,Income,Income
Checking,2023-08-11 00:00:00,Company D,,1037,1037,Salary,Income,Income
Credit,2023-11-30 00:00:00,Company C,,2187,2187,Salary,Income,Income
Checking,2023-09-12 00:00:00,Company A,217,,-217,Groceries,Food,Expense
Credit,2023-02-08 00:00:00,Company C,896,,-896,Entertainment,Entertainment,Expense
Credit,2023-11-25 00:00:00,Company B,78,,-78,Entertainment,Entertainment,Expense
Savings,2023-04-26 00:00:00,Company B,,2720,2720,Salary,Income,Income
Credit,2023-10-07 00:00:00,Company B,,2183,2183,Salary,Income,Income
Checking,2023-01-31 00:00:00,Company D,,4470,4470,Salary,Income,Income
Credit,2023-08-01 00:00:00,Company D,78,,-78,Rent,Living Expenses,Expense
Checking,2023-07-01 00:00:00,Company A,573,,-573,Groceries,Food,Expense
Checking,2023-08-14 00:00:00,Company B,483,,-483,Groceries,Food,Expense
Credit,2023-07-22 00:00:00,Company D,611,,-611,Rent,Living Expenses,Expense
Savings,2023-05-31 00:00:00,Company B,688,,-688,Entertainment,Entertainment,Expense
Credit,2023-10-30 00:00:00,Company C,14,,-14,Transport,Travel,Expense
Checking,2023-03-04 00:00:00,Company A,445,,-445,Groceries,Food,Expense
Credit,2023-07-27 00:00:00,Company A,,1854,1854,Salary,Income,Income
Checking,2023-01-01 00:00:00,Company A,286,,-286,Transport,Travel,Expense
Savings,2023-07-07 00:00:00,Company C,841,,-841,Entertainment,Entertainment,Expense
Credit,2023-07-08 00:00:00,Company D,925,,-925,Rent,Living Expenses,Expense
Savings,2023-05-06 00:00:00,Company B,,2139,2139,Salary,Income,Income
Savings,2023-02-21 00:00:00,Company B,363,,-363,Coffee,Dining Out,Expense
Savings,2023-08-24 00:00:00,Company B,,4869,4869,Salary,Income,Income
Credit,2023-02-10 00:00:00,Company D,,2329,2329,Salary,Income,Income
Credit,2023-11-17 00:00:00,Company A,266,,-266,Groceries,Food,Expense
Checking,2023-12-20 00:00:00,Company A,,4731,4731,Salary,Income,Income
Savings,2023-05-23 00:00:00,Company C,622,,-622,Groceries,Food,Expense
Credit,2023-02-06 00:00:00,Company D,974,,-974,Transport,Travel,Expense
Savings,2023-09-21 00:00:00,Company D,,1501,1501,Salary,Income,Income
Credit,2023-02-19 00:00:00,Company C,304,,-304,Rent,Living Expenses,Expense
Checking,2023-02-10 00:00:00,Company D,624,,-624,Coffee,Dining Out,Expense
Credit,2023-08-14 00:00:00,Company C,266,,-266,Transport,Travel,Expense
Checking,2023-08-20 00:00:00,Company C,709,,-709,Entertainment,Entertainment,Expense
Savings,2023-11-16 00:00:00,Company C,39,,-39,Entertainment,Entertainment,Expense
Credit,2023-03-23 00:00:00,Company A,676,,-676,Transport,Travel,Expense
Credit,2023-01-14 00:00:00,Company A,792,,-792,Transport,Travel,Expense
Savings,2023-04-24 00:00:00,Company A,365,,-365,Groceries,Food,Expense
Credit,2023-08-28 00:00:00,Company B,556,,-556,Groceries,Food,Expense
Credit,2023-01-28 00:00:00,Company B,644,,-644,Coffee,Dining Out,Expense
Credit,2023-01-06 00:00:00,Company D,825,,-825,Entertainment,Entertainment,Expense
Credit,2023-10-13 00:00:00,Company C,918,,-918,Utilities,Bills,Expense
Checking,2023-05-10 00:00:00,Company B,204,,-204,Entertainment,Entertainment,Expense
Credit,2023-11-23 00:00:00,Company B,860,,-860,Groceries,Food,Expense
Credit,2023-06-29 00:00:00,Company B,172,,-172,Entertainment,Entertainment,Expense
Checking,2023-02-24 00:00:00,Company A,,3748,3748,Salary,Income,Income
Checking,2023-12-13 00:00:00,Company D,266,,-266,Rent,Living Expenses,Expense
Checking,2023-05-04 00:00:00,Company D,468,,-468,Utilities,Bills,Expense
Savings,2023-01-01 00:00:00,Company A,958,,-958,Rent,Living Expenses,Expense
Credit,2023-12-04 00:00:00,Company C,795,,-795,Groceries,Food,Expense
Credit,2023-01-09 00:00:00,Company B,198,,-198,Groceries,Food,Expense
Savings,2023-03-11 00:00:00,Company D,606,,-606,Transport,Travel,Expense
Savings,2023-06-23 00:00:00,Company D,746,,-746,Coffee,Dining Out,Expense
Savings,2023-12-21 00:00:00,Company D,874,,-874,Entertainment,Entertainment,Expense
Credit,2023-08-16 00:00:00,Company B,,1763,1763,Salary,Income,Income
Checking,2023-12-24 00:00:00,Company A,724,,-724,Transport,Travel,Expense
Credit,2023-07-30 00:00:00,Company C,804,,-804,Utilities,Bills,Expense
Savings,2023-10-08 00:00:00,Company D,936,,-936,Transport,Travel,Expense
Savings,2023-01-08 00:00:00,Company B,208,,-208,Transport,Travel,Expense
Credit,2023-12-27 00:00:00,Company D,95,,-95,Rent,Living Expenses,Expense
